time,full_resp_time,full_high,full_low,full_text,full_replicas,full_workload,scaling_resp_time,scaling_replicas,scaling_workload,base_resp_time,base_workload
410,2.209283388,3,1,null,4,275.2,1.138034833,3,230.298,2.401348485,276.6
412,2.209283388,3,2,null,5,226.2,0.766036422,3,232.1736,2.401348485,276.6
414,2.066722488,3,2,null,5,223.2,0.783992176,3,264.1471009,2.41213309,274.8
416,2.066722488,3,3,null,6,224.5997201,0.783622176,3,260.9471009,2.41213309,274.8
418,1.9159375,3,3,null,6,1.399720056,0.792161133,3,193.9706688,2.412328654,262.2
420,1.9159375,3,3,null,6,86.06784,0.792370083,3,190.3706688,2.412328654,262.2
422,0.801320599,null,3,null,3,113.7992,0.792370083,3,190.3706688,2.412328654,262.2
424,0.765149614,null,3,null,3,164.51408,0.801354903,3,119.6,2.412328654,262.2
426,0.598447662,null,3,null,3,27.6,0.801354903,3,119.6,2.412328654,262.2
428,0.656293821,null,3,null,3,27.6,0.8049821,1,1.4,2.412328654,262.2
430,0.656329392,null,3,null,3,4.8,0.8049821,1,1.4,2.412328654,262.2
432,0.656259653,null,3,null,3,4.8,0.801558064,1,1.4,2.412328654,262.2
434,0.683213406,null,3,null,3,4.6,0.800371722,3,1.6,2.412328654,262.2
436,0.683161104,1,3,null,4,4.2,1.195605407,3,1.6,2.412328654,262.2
438,0.195563878,1,3,null,4,4.2,1.203770536,3,2.4077,2.412328654,262.2
440,0.19559482,1,3,null,4,2.8,2.397678571,3,2.6877,2.412328654,262.2
442,0.195708007,2,3,null,5,3.2,2.397678571,3,4.199720056,2.412328654,262.2
444,0.195941024,2,3,null,5,3.2,2.37173913,3,4.599720056,2.412328654,262.2
446,0.195941024,3,3,null,6,null,2.37173913,3,4.800320064,2.412328654,262.2
448,0.195941024,3,3,null,6,1.6,2.37173913,3,4.40004012,2.412328654,262.2
450,0.195941024,3,3,null,6,2.70738,2.37173913,3,4.40004012,2.412328654,262.2
452,0.195941024,3,1,null,4,2.78738,2.37173913,3,4.199440112,2.412328654,262.2
454,0.195941024,3,1,null,4,2.8,2.37173913,3,4.60004012,2.412328654,262.2
456,0.195941024,2,null,null,2,1.4,2.37173913,3,4.800320064,2.412328654,262.2
458,0.195941024,2,null,null,2,1.6,1.195605407,3,4.4,2.412328654,262.2
460,0.195941024,2,null,null,2,1.6,1.195605407,3,4.4,2.412328654,262.2
462,0.195941024,1,null,null,1,1.4,0.800371722,3,2.8,2.412328654,262.2
464,0.195941024,1,null,null,1,1.4,0.800371722,1,1.6,2.412328654,262.2
466,0.195941024,1,null,null,1,1.4,0.800371722,1,1.6,2.412328654,262.2
468,0.195941024,1,null,null,1,1.6,0.800371722,1,1.4,2.412328654,262.2
470,0.195941024,1,null,null,1,1.6,0.800371722,1,1.4,2.412328654,262.2
472,0.195941024,1,null,null,1,1.4,0.800371722,1,1.4,2.412328654,262.2
474,0.195941024,1,null,null,1,1.4,0.800371722,1,1.6,2.412328654,262.2
476,0.195941024,1,null,null,1,1.4,0.800371722,1,1.6,2.412328654,262.2
478,0.195941024,1,null,null,1,1.6,0.800371722,1,1.4,2.412328654,262.2
480,0.195941024,1,null,null,1,1.6,0.800371722,1,1.4,2.412328654,262.2
482,0.195941024,1,null,null,1,1.4,0.800371722,1,1.4,2.412328654,262.2
484,0.195941024,1,null,null,1,1.4,0.800371722,1,1.6,2.412328654,262.2
